"","age","sex","age_group","level_education","ethnicity","religion","health_risk_associated_with_drinking_untreated_water","main_source_of_drinking_water_dry_season","main_source_of_drinking_water_wet_season","treat_drinking_water","chlorination_process_done_correctly","knowledge_on_cholera_season","often_treat_water","difficulties_accessing_water_treatment_products","drinking_water_treated","method_boiling_binary","method_chlorine_binary","potential_causes_binary","cholera_prevention_binary","frequency_treatment_binary","access_products_binary","community_practice_binary","traditional_beliefs_binary","source_drinking_binary","water_treatment_practice_score","water_treatment_category"
"1",26,"male","18-30","secondary","tumbuka","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,0.333333333333333,"Does Not Practice"
"2",41,"male","31-50","primary","ngonde","Christianity","no","piped_into_dwelling","piped_into_dwelling","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"3",32,"female","31-50","primary","tonga","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","no",NA,"in_rainy_season in_summer",NA,NA,0,NA,NA,1,1,0,NA,1,0,0,0.416666666666667,"Does Not Practice"
"4",73,"female",">50","primary","tonga","Christianity","yes","other_drinking_source","borehole_1","yes",NA,"in_winter in_rainy_season","Sometimes","yes",1,1,0,1,1,1,0,1,0,1,0.75,"Practices"
"5",22,"male","18-30","secondary","tonga","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes",NA,"in_rainy_season","Sometimes","no",1,1,0,1,1,1,1,0,NA,0,0.666666666666667,"Practices"
"6",32,"female","31-50","secondary","other_enthni","Christianity","yes","community_standpipe","community_standpipe","yes",NA,"in_rainy_season","Always","no",1,1,0,1,1,1,1,0,NA,0,0.666666666666667,"Practices"
"7",55,"female",">50","primary","tumbuka","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,0,NA,0,0.583333333333333,"Practices"
"8",65,"female",">50","primary","tumbuka","muslim","yes","community_standpipe","community_standpipe","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,NA,0,0.416666666666667,"Does Not Practice"
"9",35,"male","31-50","primary","lomwe","Christianity","yes","piped_into_dwelling","piped_into_dwelling","no",NA,"do_not_know",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"10",25,"female","18-30","tertiary","lomwe","Christianity","yes","piped_into_dwelling","piped_into_dwelling","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
